Theory,Authors,Citation,Summary,Main Mathematical Frameworks,Additional Info
"Nucleus Transfer Reaction Theory describes the process of transferring nucleons (protons or neutrons) between atomic nuclei during a nuclear reaction. It's essential in understanding nuclear reactions in both astrophysical and laboratory contexts. Relevant Authors, Research Papers, and Links: Neutron transfer reactions in halo effective field theory","D. Carbone, J. L. Ferreira, S. Calabrese, F. Cappuzzello, M. Cavallaro, A. Hacisalihoglu, H. Lenske, J. Lubian, R. I. Magana Vsevolodovna, E. Santopinto, C. Agodi, L. Acosta, D. Bonanno, T. Borello-Lewin, I. Boztosun, G. A. Brischetto, S. Burrello, D. Calvo, E. R. Chávez Lomelí, I. Ciraldo, M. Colonna, F. Delaunay, N. Deshmukh, P. Finocchiaro, M. Fisichella, A. Foti, G. Gallo, F. Iazzi, L. La Fauci, G. Lanzalone, R. Linares, N. H. Medina, M. Moralles, J. R. B. Oliveira, A. Pakou, L. Pandola, H. Petrascu, F. Pinna, S. Reito, G. Russo, O. Sgouros, S. O. Solakci, V. Soukeras, G. Souliotis, A. Spatafora, D. Torresi, S. Tudisco, A. Yildirin, V. A. B. Zagatto",2021-10-20,,,
Nucleus Transmutation Theory Overview:,,,,,
"Nucleus Transmutation Theory refers to the conversion of one chemical element or isotope into another through nuclear reactions. It's a subject of interest in nuclear physics and has applications in nuclear medicine and energy production. Relevant Authors, Research Papers, and Links: Theories of Low Energy Nuclear Transmutations","L. Maiani, A. D. Polosa, V. Riquer",2014-01-21,,,
Nucleus Vibrational Energy Theory Overview:,,,,,
"Nucleus Vibrational Energy Theory explores the vibrational motions within the nucleus, considering both collective excitations and interactions between nucleons. It has applications in understanding nuclear structure, reactions, and bonding properties. Relevant Authors, Research Papers, and Links: Incorporating nuclear vibrational energies into the -atom in molecules- analysis: An analytical study","V. I. Abrosimov, A. I. Levon",2019-12-23,,,
Nucleus Vibrational Energy Theory Overview:,,,,,
"Nucleus Vibrational Energy Theory explores the vibrational energy of atomic nuclei and its implications in nuclear physics. This theory has been instrumental in understanding collective excitations in nuclei and has applications in various fields such as molecular bonding and nuclear reactions. Relevant Authors, Research Papers, and Links: Incorporating nuclear vibrational energies into the -atom in molecules- analysis: An analytical study","V. I. Abrosimov, A. I. Levon",2019-12-23,,,
Nucleus Wave Function Theory Overview:,,,,,
"Nucleus Wave Function Theory deals with the mathematical description of the wave function of a nucleus, which encapsulates information about the quantum state of the system. This theory has applications in understanding nuclear structure, reactions, and interactions. Relevant Authors, Research Papers, and Links: New trial wave function for nuclear cluster structure of nuclei","R. Cenni, G. Vagradov",2005-04-01,,,
Nucleus Weak Interaction Theory Overview:,,,,,
"Nucleus Weak Interaction Theory focuses on the weak interaction processes within the nucleus, including beta-decay, electron capture, and neutrino-nucleus reactions. This theory has applications in astrophysics, dark matter detection, and understanding the fundamental forces in the nucleus. Relevant Authors, Research Papers, and Links: Modeling nuclear weak-interaction processes with relativistic energy density functionals","A. Botrugno, G. Co'",2004-09-20,,,
Particle Cluster Model Theory Overview:,,,,,
"Particle Cluster Model Theory explores the behavior of clusters of particles in various systems, including strongly correlated fermion systems, Janus fluids, and relativistic quantum mechanics. This theory has applications in condensed matter physics, statistical mechanics, and nuclear physics. Relevant Authors, Research Papers, and Links: Bond-dependent slave-particle cluster theory based on density matrix expansion",W. N. Polyzou,2003-02-11,,,
Particle Pairing Theory Overview:,,,,,
"Particle Pairing Theory explores the pairing behavior of fermions and other particles in various systems, including nuclear physics, mesoscopic superconductors, and strongly correlated fermion systems. This theory has applications in understanding ground state correlations, collective behavior, and the transition between mean field and pairing dominated regimes. Relevant Authors, Research Papers, and Links: Solving for the Particle-Number-Projected HFB Wavefunction","M. Sambataro, N. Sandulescu",2013-03-19,,,
A Number-Conserving Theory for Nuclear Pairing,"Denis Lacroix, Guillaume Hupin",2010-03-15,,,
Particle Transfer Reaction Theory Overview:,,,,,
"Particle Transfer Reaction Theory studies the transfer of particles between interacting systems, often within the context of nuclear reactions. This theory has applications in understanding nuclear dynamics, astrophysics, and the behavior of charged particles in various energy regimes. Relevant Authors, Research Papers, and Links: Particle transfer reactions with the time-dependent Hartree-Fock theory using a particle number projection technique","R. Yarmukhamedov, K. I. Tursunmakhatov, N. Burtebayev",2020-03-12,,,
Particle Transmutation Theory Overview:,,,,,
"Particle Transmutation Theory explores the transformation of one type of particle into another, such as fermions transmuting into different flavors. This theory has applications in quantum mechanics, gauge theory, electromagnetic fields, and the understanding of fundamental particle interactions. Relevant Authors, Research Papers, and Links: Fermion transmutation - a renormalization effect in gauge theory","K. Lechner, P. A. Marchetti",2000-10-31,,,
Particle Vibrational Energy Theory Overview:,,,,,
"Particle Vibrational Energy Theory explores the coupling between particles and vibrational modes within a system. This theory has applications in nuclear structure, quantum mechanics, and the understanding of single-particle dynamics influenced by collective vibrations. Relevant Authors, Research Papers, and Links: Particle vibrational coupling in covariant density functional theory","E. Litvinova, P. Ring",2006-05-24,,,
Mean-Field Theory for Fermion Pairs and the ab initio Particle-Vibration-Coupling Approach,Peter Schuck,2019-05-12,,,
Particle Wave Function Theory Overview:,,,,,
"Particle Wave Function Theory delves into the mathematical description of particles as wave functions. This theory is fundamental to quantum mechanics, exploring the probabilistic nature of particles, their interactions, and the relationship between particles and waves. Relevant Authors, Research Papers, and Links: Wave function as geometric entity",T. Yamazaki,2004-09-16,,,
Particle Weak Interaction Theory Overview:,,,,,
"Particle Weak Interaction Theory focuses on one of the four fundamental forces in nature, the weak force. This force is responsible for processes like beta decay in nuclear physics. The theory explores the interaction mechanisms, symmetry breaking, and the relationship with electroweak unification. Relevant Authors, Research Papers, and Links:",,,,,
Lectures on the Theory of the Weak Interaction,"Tobias Geiger, Andreas Buchleitner, Thomas Wellens",2013-07-18,,,
